spiketime,electrodes
5594.0,36
5658.0,42
5662.3,49
5665.6,36
5668.2,50
5669.2,41
5672.0,45
5672.2,22
5673.4,49
5674.8,22
5676.8,6
5676.9,36
5688.2,41
5688.7,49
5688.9,22
5689.4,44
5691.3,38
5691.7,49
5692.2,34
5693.3,13
5693.9,41
5693.9,50
5695.3,45
5695.5,38
5697.9,16
5697.9,42
5697.9,48
5698.0,41
5698.0,44
5698.2,22
5699.6,60
5699.8,29
5699.9,54
5700.5,44
5701.7,9
5702.7,52
5704.0,8
5704.3,30
5704.5,3
5704.9,20
5706.5,33
5706.5,44
5706.8,23
5706.8,30
5706.8,49
5707.6,22
5707.7,5
5707.9,28
5707.9,41
5708.9,45
5709.2,19
5709.2,29
5709.5,40
5709.7,60
5709.8,8
5709.8,25
5710.2,6
5710.2,50
5710.4,30
5710.7,53
5710.7,59
5710.8,20
5711.1,44
5711.7,36
5712.0,23
5712.1,41
5712.2,60
5712.4,1
5712.4,28
5712.6,29
5712.9,33
5713.4,3
5714.2,8
5714.5,49
5714.8,7
5715.1,6
5715.4,25
5715.6,29
5716.2,22
5716.7,13
5718.0,41
5718.8,20
5719.1,38
5720.4,6
5722.5,40
5723.3,19
5725.7,59
5725.8,7
5726.2,41
5727.0,5
5727.0,44
5727.2,6
5727.4,33
5727.7,8
5728.1,4
5728.2,13
5729.0,36
5729.1,41
5729.2,59
5729.7,35
5730.2,44
5730.4,40
5730.4,43
5730.6,49
5730.9,60
5732.1,8
5732.5,9
5733.1,44
5733.2,59
5734.5,30
5734.8,50
5737.1,52
5737.7,42
5738.4,59
5738.7,41
5740.4,49
5740.8,30
5741.1,6
5741.1,55
5742.5,33
5742.8,20
5743.8,16
5743.8,19
5744.4,7
5744.5,9
5745.0,4
5745.6,18
5746.4,36
5746.5,13
5747.0,22
5747.1,6
5747.2,8
5747.7,29
5748.4,9
5748.6,33
5748.7,41
5749.5,7
5749.5,16
5749.5,42
5749.7,5
5749.7,44
5750.3,35
5750.5,59
5750.8,8
5750.9,45
5751.0,36
5751.2,19
5751.2,60
5751.8,6
5752.3,10
5752.8,1
5752.9,44
5753.5,40
5753.7,8
5754.2,17
5754.2,59
5754.5,49
5755.0,50
5755.0,60
5755.1,3
5755.3,53
5755.4,48
5755.5,19
5755.6,16
5755.9,21
5756.4,14
5756.7,41
5756.8,1
5756.8,2
5757.0,22
5757.5,8
5757.5,17
5758.2,6
5758.2,11
5758.5,32
5758.9,19
5759.1,9
5759.1,60
5759.8,12
5759.8,47
5759.9,41
5759.9,59
5760.2,5
5760.5,8
5761.5,6
5761.5,33
5761.6,9
