spiketime,electrodes
2882.7,3
2883.0,49
2884.1,50
2887.2,3
2887.4,49
2887.5,25
2887.9,37
2888.5,32
2889.6,25
2889.6,59
2890.3,40
2890.5,50
2891.4,47
2892.2,16
2892.9,50
2893.2,21
2893.2,34
2893.4,11
2893.4,23
2893.5,3
2894.7,49
2895.5,7
2895.8,11
2895.9,27
2896.1,6
2896.2,47
2896.4,17
2896.6,56
2896.7,59
2896.8,21
2896.8,52
2897.5,12
2897.8,5
2898.2,14
2898.2,50
2898.5,16
2898.6,9
2899.0,18
2899.0,47
2899.3,11
2899.4,46
2899.6,23
2899.7,3
2899.9,49
2899.9,56
2900.2,25
2900.3,19
2900.5,50
2900.6,30
2900.7,51
2900.9,34
2901.4,47
2901.7,27
2902.5,56
2902.9,55
2903.6,5
2903.6,12
2903.7,6
2903.9,49
2904.3,3
2904.5,50
2905.1,9
2905.1,52
2905.1,59
2906.0,48
2906.3,25
2906.8,49
2907.6,50
2907.7,17
2908.3,59
2909.0,9
2909.9,11
2910.0,49
2910.3,56
2911.0,12
2911.4,50
2911.5,59
2911.8,34
2912.0,27
2912.3,5
2912.6,55
2913.0,47
2913.2,56
2913.8,49
2915.1,57
2915.3,50
2915.9,25
2916.6,9
2917.1,19
2917.3,56
2917.9,51
2918.2,47
2919.4,49
2919.6,50
2921.4,11
2922.2,9
2924.0,5
2924.0,12
2924.1,50
2924.6,56
2926.1,5
2926.8,30
2926.9,50
2927.1,25
2927.7,23
2927.8,27
2928.8,9
2930.5,25
2931.9,17
2932.0,19
2932.2,26
2932.6,25
2933.0,56
2933.8,50
2936.3,9
2937.0,48
2937.1,5
2937.4,49
2938.2,12
2940.2,18
2941.6,50
2941.7,55
2945.1,51
2946.0,25
2947.0,23
2947.0,27
2948.0,9
2948.0,20
2949.0,27
2950.3,51
2950.4,49
2951.9,56
2952.5,17
2953.7,5
2954.0,11
2956.2,11
2957.8,19
2960.3,27
2961.4,49
2966.0,59
2966.6,39
2969.0,56
2970.8,34
2972.8,18
2973.4,11
2975.2,49
2975.8,48
2977.9,17
2978.0,12
2978.2,19
2983.2,55
2984.0,56
2986.3,50
2988.1,49
2990.4,5
2994.4,27
2996.1,11
3000.6,49
3001.6,19
3003.3,21
3007.4,46
3008.5,56
3011.7,11
3012.9,5
3016.4,34
3017.0,6
3018.5,49
3020.3,27
3021.4,55
3023.7,49
3025.3,48
3026.1,19
3029.8,25
3031.9,49
3032.3,50
3036.8,12
3038.4,34
3043.6,5
3046.5,19
3048.2,48
3050.8,49
3052.4,55
3053.9,46
3054.7,39
3055.4,56
3056.4,25
3059.7,49
3065.5,5
3067.1,56
3068.7,6
3071.4,49
3073.5,34
3086.0,6
3086.3,55
3086.6,49
3089.5,56
3094.7,25
3096.5,12
3096.9,34
3099.2,5
3100.5,19
3104.6,49
3105.1,56
3120.3,34
3120.4,49
3125.8,59
3126.5,52
3129.8,25
3135.3,11
3141.4,25
3142.6,23
3144.3,49
3147.2,34
3147.7,59
3149.3,56
3150.1,6
3150.6,5
3152.3,46
3152.6,49
3153.4,11
3155.5,57
3157.4,19
3167.4,59
3173.7,55
3174.1,56
3176.2,48
3181.5,52
3184.8,46
